	corpus	fnames	composed_end	annotated_key	chord	numeral	chord_type
0	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
1	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
2	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
3	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
4	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
5	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
6	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
7	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
8	chopin_mazurkas	BI77-4op17-4	1832	a	iv	iv	m
9	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
10	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
11	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
12	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
13	chopin_mazurkas	BI77-4op17-4	1832	a	V7(4)/III	V	Mm7
14	chopin_mazurkas	BI77-4op17-4	1832	a	V7/III	V	Mm7
15	chopin_mazurkas	BI77-4op17-4	1832	a	v6	v	m
16	chopin_mazurkas	BI77-4op17-4	1832	a	V7/ii	V	Mm7
17	chopin_mazurkas	BI77-4op17-4	1832	a	#iv6	#iv	m
18	chopin_mazurkas	BI77-4op17-4	1832	a	V7/bII	V	Mm7
19	chopin_mazurkas	BI77-4op17-4	1832	a	iv6	iv	m
20	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
21	chopin_mazurkas	BI77-4op17-4	1832	a	V7(64)	V	Mm7
22	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
23	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
24	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
25	chopin_mazurkas	BI77-4op17-4	1832	a	iv64(9)	iv	m
26	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
27	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
28	chopin_mazurkas	BI77-4op17-4	1832	a	V7(4)/III	V	Mm7
29	chopin_mazurkas	BI77-4op17-4	1832	a	V7/III	V	Mm7
30	chopin_mazurkas	BI77-4op17-4	1832	a	v6	v	m
31	chopin_mazurkas	BI77-4op17-4	1832	a	V7/ii	V	Mm7
32	chopin_mazurkas	BI77-4op17-4	1832	a	#iv6	#iv	m
33	chopin_mazurkas	BI77-4op17-4	1832	a	V7/bII	V	Mm7
34	chopin_mazurkas	BI77-4op17-4	1832	a	iv6	iv	m
35	chopin_mazurkas	BI77-4op17-4	1832	a	V(6)	V	M
36	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
37	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
38	chopin_mazurkas	BI77-4op17-4	1832	a	i	i	m
39	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
40	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
41	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
42	chopin_mazurkas	BI77-4op17-4	1832	a	V7(4)/III	V	Mm7
43	chopin_mazurkas	BI77-4op17-4	1832	a	V7/III	V	Mm7
44	chopin_mazurkas	BI77-4op17-4	1832	a	v6	v	m
45	chopin_mazurkas	BI77-4op17-4	1832	a	V7/ii	V	Mm7
46	chopin_mazurkas	BI77-4op17-4	1832	a	#iv6	#iv	m
47	chopin_mazurkas	BI77-4op17-4	1832	a	V7/bII	V	Mm7
48	chopin_mazurkas	BI77-4op17-4	1832	a	iv6	iv	m
49	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
50	chopin_mazurkas	BI77-4op17-4	1832	a	V7(64)	V	Mm7
51	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
52	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
53	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
54	chopin_mazurkas	BI77-4op17-4	1832	a	iv64(9)	iv	m
55	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
56	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
57	chopin_mazurkas	BI77-4op17-4	1832	a	vi6	vi	m
58	chopin_mazurkas	BI77-4op17-4	1832	a	V7(4)/III	V	Mm7
59	chopin_mazurkas	BI77-4op17-4	1832	a	V7/III	V	Mm7
60	chopin_mazurkas	BI77-4op17-4	1832	a	v6	v	m
61	chopin_mazurkas	BI77-4op17-4	1832	a	V7/ii	V	Mm7
62	chopin_mazurkas	BI77-4op17-4	1832	a	#iv6	#iv	m
63	chopin_mazurkas	BI77-4op17-4	1832	a	V7/bII	V	Mm7
64	chopin_mazurkas	BI77-4op17-4	1832	a	iv6	iv	m
65	chopin_mazurkas	BI77-4op17-4	1832	a	V(6)	V	M
66	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
67	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
68	chopin_mazurkas	BI77-4op17-4	1832	a	i	i	m
69	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
70	chopin_mazurkas	BI77-4op17-4	1832	a	V(#7)	V	M
71	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
72	chopin_mazurkas	BI77-4op17-4	1832	a	i6(11)	i	m
73	chopin_mazurkas	BI77-4op17-4	1832	a	i6	i	m
74	chopin_mazurkas	BI77-4op17-4	1832	a	i	i	m
75	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
76	chopin_mazurkas	BI77-4op17-4	1832	a	V(#7)	V	M
77	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
78	chopin_mazurkas	BI77-4op17-4	1832	a	IV64	IV	M
79	chopin_mazurkas	BI77-4op17-4	1832	a	V(#64)	V	M
80	chopin_mazurkas	BI77-4op17-4	1832	a	V(64)	V	M
81	chopin_mazurkas	BI77-4op17-4	1832	a	V(#7)	V	M
82	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
83	chopin_mazurkas	BI77-4op17-4	1832	a	V(#7)	V	M
84	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
85	chopin_mazurkas	BI77-4op17-4	1832	a	i6(11)	i	m
86	chopin_mazurkas	BI77-4op17-4	1832	a	i6	i	m
87	chopin_mazurkas	BI77-4op17-4	1832	a	i	i	m
88	chopin_mazurkas	BI77-4op17-4	1832	a	vo6	v	o
89	chopin_mazurkas	BI77-4op17-4	1832	a	iv6	iv	m
90	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
91	chopin_mazurkas	BI77-4op17-4	1832	a	vo6	v	o
92	chopin_mazurkas	BI77-4op17-4	1832	a	iv6	iv	m
93	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
94	chopin_mazurkas	BI77-4op17-4	1832	a	iv64(13#11)	iv	m
95	chopin_mazurkas	BI77-4op17-4	1832	a	iv64(#11)	iv	m
96	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
97	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
98	chopin_mazurkas	BI77-4op17-4	1832	a	V7(4)/III	V	Mm7
99	chopin_mazurkas	BI77-4op17-4	1832	a	V7/III	V	Mm7
100	chopin_mazurkas	BI77-4op17-4	1832	a	v6	v	m
101	chopin_mazurkas	BI77-4op17-4	1832	a	V7/ii	V	Mm7
102	chopin_mazurkas	BI77-4op17-4	1832	a	#iv6	#iv	m
103	chopin_mazurkas	BI77-4op17-4	1832	a	V7/bII	V	Mm7
104	chopin_mazurkas	BI77-4op17-4	1832	a	iv6	iv	m
105	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
106	chopin_mazurkas	BI77-4op17-4	1832	a	V7(64)	V	Mm7
107	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
108	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
109	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
110	chopin_mazurkas	BI77-4op17-4	1832	a	iv64(9)	iv	m
111	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
112	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
113	chopin_mazurkas	BI77-4op17-4	1832	a	vi6	vi	m
114	chopin_mazurkas	BI77-4op17-4	1832	a	V7(4)/III	V	Mm7
115	chopin_mazurkas	BI77-4op17-4	1832	a	V7/III	V	Mm7
116	chopin_mazurkas	BI77-4op17-4	1832	a	v6	v	m
117	chopin_mazurkas	BI77-4op17-4	1832	a	V7/ii	V	Mm7
118	chopin_mazurkas	BI77-4op17-4	1832	a	#iv6	#iv	m
119	chopin_mazurkas	BI77-4op17-4	1832	a	V7/bII	V	Mm7
120	chopin_mazurkas	BI77-4op17-4	1832	a	iv6	iv	m
121	chopin_mazurkas	BI77-4op17-4	1832	a	V(6)	V	M
122	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
123	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
124	chopin_mazurkas	BI77-4op17-4	1832	a	I	I	M
125	chopin_mazurkas	BI77-4op17-4	1832	a			
126	chopin_mazurkas	BI77-4op17-4	1832	a	vi65	vi	mm7
127	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
128	chopin_mazurkas	BI77-4op17-4	1832	a	I	I	M
129	chopin_mazurkas	BI77-4op17-4	1832	a	vi65	vi	mm7
130	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
131	chopin_mazurkas	BI77-4op17-4	1832	a	V7(13)	V	Mm7
132	chopin_mazurkas	BI77-4op17-4	1832	a	I	I	M
133	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
134	chopin_mazurkas	BI77-4op17-4	1832	a	V7(9)	V	Mm7
135	chopin_mazurkas	BI77-4op17-4	1832	a	I	I	M
136	chopin_mazurkas	BI77-4op17-4	1832	a	vi65	vi	mm7
137	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
138	chopin_mazurkas	BI77-4op17-4	1832	a	I	I	M
139	chopin_mazurkas	BI77-4op17-4	1832	a	vi65	vi	mm7
140	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
141	chopin_mazurkas	BI77-4op17-4	1832	a	I	I	M
142	chopin_mazurkas	BI77-4op17-4	1832	a	vi65	vi	mm7
143	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
144	chopin_mazurkas	BI77-4op17-4	1832	a	I	I	M
145	chopin_mazurkas	BI77-4op17-4	1832	a	vi65	vi	mm7
146	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
147	chopin_mazurkas	BI77-4op17-4	1832	a	I	I	M
148	chopin_mazurkas	BI77-4op17-4	1832	a	vi65	vi	mm7
149	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
150	chopin_mazurkas	BI77-4op17-4	1832	a	I	I	M
151	chopin_mazurkas	BI77-4op17-4	1832	a	vi65	vi	mm7
152	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
153	chopin_mazurkas	BI77-4op17-4	1832	a	V7(13)	V	Mm7
154	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
155	chopin_mazurkas	BI77-4op17-4	1832	a	I	I	M
156	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
157	chopin_mazurkas	BI77-4op17-4	1832	a	V7(9)	V	Mm7
158	chopin_mazurkas	BI77-4op17-4	1832	a	I	I	M
159	chopin_mazurkas	BI77-4op17-4	1832	a	vi65	vi	mm7
160	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
161	chopin_mazurkas	BI77-4op17-4	1832	a	I	I	M
162	chopin_mazurkas	BI77-4op17-4	1832	a	vi65	vi	mm7
163	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
164	chopin_mazurkas	BI77-4op17-4	1832	a	V(b9)	V	M
165	chopin_mazurkas	BI77-4op17-4	1832	a	iio64	ii	o
166	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
167	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
168	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
169	chopin_mazurkas	BI77-4op17-4	1832	a	V7(4)/III	V	Mm7
170	chopin_mazurkas	BI77-4op17-4	1832	a	V7/III	V	Mm7
171	chopin_mazurkas	BI77-4op17-4	1832	a	v6	v	m
172	chopin_mazurkas	BI77-4op17-4	1832	a	V7/ii	V	Mm7
173	chopin_mazurkas	BI77-4op17-4	1832	a	#iv6	#iv	m
174	chopin_mazurkas	BI77-4op17-4	1832	a	V7/bII	V	Mm7
175	chopin_mazurkas	BI77-4op17-4	1832	a	iv6	iv	m
176	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
177	chopin_mazurkas	BI77-4op17-4	1832	a	V7(64)	V	Mm7
178	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
179	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
180	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
181	chopin_mazurkas	BI77-4op17-4	1832	a	iv64(9)	iv	m
182	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
183	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
184	chopin_mazurkas	BI77-4op17-4	1832	a	vi6	vi	m
185	chopin_mazurkas	BI77-4op17-4	1832	a	V7(4)/III	V	Mm7
186	chopin_mazurkas	BI77-4op17-4	1832	a	V7/III	V	Mm7
187	chopin_mazurkas	BI77-4op17-4	1832	a	v6	v	m
188	chopin_mazurkas	BI77-4op17-4	1832	a	V7/ii	V	Mm7
189	chopin_mazurkas	BI77-4op17-4	1832	a	#iv6	#iv	m
190	chopin_mazurkas	BI77-4op17-4	1832	a	V7/bII	V	Mm7
191	chopin_mazurkas	BI77-4op17-4	1832	a	iv6	iv	m
192	chopin_mazurkas	BI77-4op17-4	1832	a	V(6)	V	M
193	chopin_mazurkas	BI77-4op17-4	1832	a	V	V	M
194	chopin_mazurkas	BI77-4op17-4	1832	a	V7	V	Mm7
195	chopin_mazurkas	BI77-4op17-4	1832	a	i	i	m
196	chopin_mazurkas	BI77-4op17-4	1832	a			
197	chopin_mazurkas	BI77-4op17-4	1832	a	viio65/V	vii	o7
198	chopin_mazurkas	BI77-4op17-4	1832	a	Ger6	vii	Ger
199	chopin_mazurkas	BI77-4op17-4	1832	a	#viio2	#vii	o7
200	chopin_mazurkas	BI77-4op17-4	1832	a	Ger2/iv	vii	Ger
201	chopin_mazurkas	BI77-4op17-4	1832	a	#viio65/iv	#vii	o7
202	chopin_mazurkas	BI77-4op17-4	1832	a	viio2/VII	vii	o7
203	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
204	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
205	chopin_mazurkas	BI77-4op17-4	1832	a	i	i	m
206	chopin_mazurkas	BI77-4op17-4	1832	a			
207	chopin_mazurkas	BI77-4op17-4	1832	a	viio65/V	vii	o7
208	chopin_mazurkas	BI77-4op17-4	1832	a	Ger6	vii	Ger
209	chopin_mazurkas	BI77-4op17-4	1832	a	#viio2	#vii	o7
210	chopin_mazurkas	BI77-4op17-4	1832	a	Ger2/iv	vii	Ger
211	chopin_mazurkas	BI77-4op17-4	1832	a	#viio65/iv	#vii	o7
212	chopin_mazurkas	BI77-4op17-4	1832	a	viio2/VII	vii	o7
213	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
214	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
215	chopin_mazurkas	BI77-4op17-4	1832	a	i	i	m
216	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
217	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
218	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
219	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
220	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
221	chopin_mazurkas	BI77-4op17-4	1832	a	iv64	iv	m
222	chopin_mazurkas	BI77-4op17-4	1832	a	ii%2	ii	%7
223	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
224	chopin_mazurkas	BI77-4op17-4	1832	a	iv	iv	m
225	chopin_mazurkas	BI77-4op17-4	1832	a	VI6	VI	M
