mc	mn	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord    	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones 	added_tones	root	bass_note
37	37	0       	0       	4/4    	5    	1    	iii      	         	G        	IV      	     	iii      	iii    	    	       	       	            	       	         	m         	0                 	0                	4, 1, 5     	           	4   	4
37	37	1/4     	1/4     	4/4    	5    	1    	V6       	         	G        	IV      	     	V6       	V      	    	6      	       	            	       	         	M         	0                 	0                	5, 2, 1     	           	1   	5
37	37	1/2     	1/2     	4/4    	5    	1    	I[I      	         	G        	IV      	I    	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
37	37	3/4     	3/4     	4/4    	5    	1    	V6       	         	G        	IV      	I    	V6       	V      	    	6      	       	            	       	         	M         	0                 	0                	5, 2, 1     	           	1   	5
38	38	0       	0       	4/4    	5    	1    	I        	         	G        	IV      	I    	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
38	38	1/4     	1/4     	4/4    	5    	1    	V64      	         	G        	IV      	I    	V64      	V      	    	64     	       	            	       	         	M         	0                 	0                	2, 1, 5     	           	1   	2
38	38	1/2     	1/2     	4/4    	5    	1    	I]       	         	G        	IV      	I    	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
39	39	0       	0       	4/4    	5    	1    	V\\      	         	G        	IV      	     	V        	V      	    	       	       	            	       	\\       	M         	0                 	0                	1, 5, 2     	           	1   	1
39	39	1/2     	1/2     	4/4    	5    	1    	I.I      	         	G        	I       	     	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
39	39	3/4     	3/4     	4/4    	5    	1    	IV6      	         	G        	I       	     	IV6      	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1    	           	-1  	3
40	40	0       	0       	4/4    	5    	1    	V6       	         	G        	I       	     	V6       	V      	    	6      	       	            	       	         	M         	0                 	0                	5, 2, 1     	           	1   	5
40	40	1/2     	1/2     	4/4    	5    	1    	I\\      	         	G        	I       	     	I        	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1     	           	0   	0
40	40	3/4     	3/4     	4/4    	5    	1    	IV.V     	         	G        	IV      	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
41	41	0       	0       	4/4    	5    	1    	I        	         	G        	IV      	     	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
41	41	1/4     	1/4     	4/4    	5    	1    	IV6      	         	G        	IV      	     	IV6      	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1    	           	-1  	3
41	41	1/2     	1/2     	4/4    	5    	1    	V7       	         	G        	IV      	     	V7       	V      	    	7      	       	            	       	         	Mm7       	0                 	0                	1, 5, 2, -1 	           	1   	1
42	42	0       	0       	4/4    	5    	1    	I\\      	         	G        	IV      	     	I        	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1     	           	0   	0
42	42	5/8     	5/8     	4/4    	5    	1    	I        	         	G        	IV      	     	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
42	42	3/4     	3/4     	4/4    	5    	1    	I6       	         	G        	IV      	     	I6       	I      	    	6      	       	            	       	         	M         	0                 	0                	4, 1, 0     	           	0   	4
43	43	0       	0       	4/4    	5    	1    	V        	         	G        	IV      	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
43	43	1/4     	1/4     	4/4    	5    	1    	I.IV     	         	G        	I       	     	IV       	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0    	           	-1  	-1
43	43	1/2     	1/2     	4/4    	5    	1    	V        	         	G        	I       	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
43	43	3/4     	3/4     	4/4    	5    	1    	I\\      	         	G        	I       	     	I        	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1     	           	0   	0
44	44	1/2     	1/2     	4/4    	5    	1    	v.i      	         	G        	v       	     	i        	i      	    	       	       	            	       	         	m         	0                 	1                	0, -3, 1    	           	0   	0
45	45	1/4     	1/4     	4/4    	5    	1    	v6       	         	G        	v       	     	v6       	v      	    	6      	       	            	       	         	m         	0                 	1                	-2, 2, 1    	           	1   	-2
45	45	1/2     	1/2     	4/4    	5    	1    	v        	         	G        	v       	     	v        	v      	    	       	       	            	       	         	m         	0                 	1                	1, -2, 2    	           	1   	1
45	45	3/4     	3/4     	4/4    	5    	1    	IV6      	         	G        	v       	     	IV6      	IV     	    	6      	       	            	       	         	M         	0                 	1                	3, 0, -1    	           	-1  	3
46	46	0       	0       	4/4    	5    	1    	#viio    	         	G        	v       	     	#viio    	#vii   	o   	       	       	            	       	         	o         	0                 	1                	5, 2, -1    	           	5   	5
46	46	1/4     	1/4     	4/4    	5    	1    	i(9)     	         	G        	v       	     	i(9)     	i      	    	       	9      	            	       	         	m         	0                 	1                	0, -3, 1    	2          	0   	0
46	46	1/2     	1/2     	4/4    	5    	1    	#viio(2) 	         	G        	v       	     	#viio(2) 	#vii   	o   	       	2      	            	       	         	o         	0                 	1                	0, 2, -1    	           	5   	0
46	46	3/4     	3/4     	4/4    	5    	1    	#viio    	         	G        	v       	     	#viio    	#vii   	o   	       	       	            	       	         	o         	0                 	1                	5, 2, -1    	           	5   	5
47	47	0       	0       	4/4    	5    	1    	i\\      	         	G        	v       	     	i        	i      	    	       	       	            	       	\\       	m         	0                 	1                	0, -3, 1    	           	0   	0
47	47	1/4     	1/4     	4/4    	5    	1    	i        	         	G        	v       	     	i        	i      	    	       	       	            	       	         	m         	0                 	1                	0, -3, 1    	           	0   	0
47	47	1/2     	1/2     	4/4    	5    	1    	IV.I6    	         	G        	IV      	     	I6       	I      	    	6      	       	            	       	         	M         	0                 	0                	4, 1, 0     	           	0   	4
48	48	0       	0       	4/4    	5    	1    	V[V(64)  	         	G        	IV      	V    	V(64)    	V      	    	       	64     	            	       	         	M         	0                 	0                	1, 0, 4     	           	1   	1
48	48	1/4     	1/4     	4/4    	5    	1    	V        	         	G        	IV      	V    	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
48	48	1/2     	1/2     	4/4    	5    	1    	iii6     	         	G        	IV      	V    	iii6     	iii    	    	6      	       	            	       	         	m         	0                 	0                	1, 5, 4     	           	4   	1
48	48	3/4     	3/4     	4/4    	5    	1    	IV6      	         	G        	IV      	V    	IV6      	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1    	           	-1  	3
49	49	0       	0       	4/4    	5    	1    	V        	         	G        	IV      	V    	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
49	49	1/4     	1/4     	4/4    	5    	1    	V(+64)   	         	G        	IV      	V    	V(+64)   	V      	    	       	+64    	            	       	         	M         	0                 	0                	1, 0, 2     	4          	1   	1
49	49	1/2     	1/2     	4/4    	5    	1    	V7(4)    	         	G        	IV      	V    	V7(4)    	V      	    	7      	4      	            	       	         	Mm7       	0                 	0                	1, 0, 2, -1 	           	1   	1
49	49	3/4     	3/4     	4/4    	5    	1    	V7]      	         	G        	IV      	V    	V7       	V      	    	7      	       	            	       	         	Mm7       	0                 	0                	1, 5, 2, -1 	           	1   	1
50	50	0       	0       	4/4    	5    	1    	I\\      	         	G        	IV      	     	I        	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1     	           	0   	0
50	50	1/4     	1/4     	4/4    	5    	1    	I        	         	G        	IV      	     	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
51	51	0       	0       	4/4    	5    	1    	v.v      	         	G        	v       	     	v        	v      	    	       	       	            	       	         	m         	0                 	1                	1, -2, 2    	           	1   	1
52	52	1/4     	1/4     	4/4    	5    	1    	v64      	         	G        	v       	     	v64      	v      	    	64     	       	            	       	         	m         	0                 	1                	2, 1, -2    	           	1   	2
52	52	1/2     	1/2     	4/4    	5    	1    	i6       	         	G        	v       	     	i6       	i      	    	6      	       	            	       	         	m         	0                 	1                	-3, 1, 0    	           	0   	-3
53	53	0       	0       	4/4    	5    	1    	V(64)    	         	G        	v       	     	V(64)    	V      	    	       	64     	            	       	         	M         	0                 	1                	1, 0, -3    	           	1   	1
53	53	1/2     	1/2     	4/4    	5    	1    	V(6)     	         	G        	v       	     	V(6)     	V      	    	       	6      	            	       	         	M         	0                 	1                	1, 5, -3    	           	1   	1
53	53	3/4     	3/4     	4/4    	5    	1    	V(64)    	         	G        	v       	     	V(64)    	V      	    	       	64     	            	       	         	M         	0                 	1                	1, 0, -3    	           	1   	1
54	54	0       	0       	4/4    	5    	1    	V        	         	G        	v       	     	V        	V      	    	       	       	            	       	         	M         	0                 	1                	1, 5, 2     	           	1   	1
54	54	1/4     	1/4     	4/4    	5    	1    	V(+64)   	         	G        	v       	     	V(+64)   	V      	    	       	+64    	            	       	         	M         	0                 	1                	1, 0, 2     	-3         	1   	1
54	54	1/2     	1/2     	4/4    	5    	1    	V7(4)    	         	G        	v       	     	V7(4)    	V      	    	7      	4      	            	       	         	Mm7       	0                 	1                	1, 0, 2, -1 	           	1   	1
54	54	3/4     	3/4     	4/4    	5    	1    	V7       	         	G        	v       	     	V7       	V      	    	7      	       	            	       	         	Mm7       	0                 	1                	1, 5, 2, -1 	           	1   	1
55	55	0       	0       	4/4    	5    	1    	I[I\\    	         	G        	v       	I    	I        	I      	    	       	       	            	       	\\       	M         	0                 	1                	0, 4, 1     	           	0   	0
55	55	1/4     	1/4     	4/4    	5    	1    	I.V      	         	G        	I       	V    	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
55	55	1/2     	1/2     	4/4    	5    	1    	I6       	         	G        	I       	V    	I6       	I      	    	6      	       	            	       	         	M         	0                 	0                	4, 1, 0     	           	0   	4
56	56	0       	0       	4/4    	5    	1    	v(4)     	         	G        	I       	V    	v(4)     	v      	    	       	4      	            	       	         	m         	0                 	0                	1, 0, 2     	           	1   	1
56	56	1/4     	1/4     	4/4    	5    	1    	v        	         	G        	I       	V    	v        	v      	    	       	       	            	       	         	m         	0                 	0                	1, -2, 2    	           	1   	1
56	56	3/4     	3/4     	4/4    	5    	1    	ii]      	         	G        	I       	V    	ii       	ii     	    	       	       	            	       	         	m         	0                 	0                	2, -1, 3    	           	2   	2
57	57	0       	0       	4/4    	5    	1    	viio6    	         	G        	I       	     	viio6    	vii    	o   	6      	       	            	       	         	o         	0                 	0                	2, -1, 5    	           	5   	2
57	57	1/4     	1/4     	4/4    	5    	1    	I(2)     	         	G        	I       	     	I(2)     	I      	    	       	2      	            	       	         	M         	0                 	0                	2, 4, 1     	           	0   	2
57	57	1/2     	1/2     	4/4    	5    	1    	viio6(2) 	         	G        	I       	     	viio6(2) 	vii    	o   	6      	2      	            	       	         	o         	0                 	0                	2, -1, 0    	           	5   	2
57	57	3/4     	3/4     	4/4    	5    	1    	viio6    	         	G        	I       	     	viio6    	vii    	o   	6      	       	            	       	         	o         	0                 	0                	2, -1, 5    	           	5   	2
58	58	0       	0       	4/4    	5    	1    	I\\      	         	G        	I       	     	I        	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1     	           	0   	0
58	58	1/4     	1/4     	4/4    	5    	1    	IV.V     	         	G        	IV      	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
58	58	1/2     	1/2     	4/4    	5    	1    	iii      	         	G        	IV      	     	iii      	iii    	    	       	       	            	       	         	m         	0                 	0                	4, 1, 5     	           	4   	4
59	59	0       	0       	4/4    	5    	1    	V        	         	G        	IV      	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
59	59	1/2     	1/2     	4/4    	5    	1    	viio6    	         	G        	IV      	     	viio6    	vii    	o   	6      	       	            	       	         	o         	0                 	0                	2, -1, 5    	           	5   	2
59	59	3/4     	3/4     	4/4    	5    	1    	iii65    	         	G        	IV      	     	iii65    	iii    	    	65     	       	            	       	         	mm7       	0                 	0                	1, 5, 2, 4  	           	4   	1
60	60	0       	0       	4/4    	5    	1    	IV6      	         	G        	IV      	     	IV6      	IV     	    	6      	       	            	       	         	M         	0                 	0                	3, 0, -1    	           	-1  	3
60	60	1/4     	1/4     	4/4    	5    	1    	viio(+2) 	         	G        	IV      	     	viio(+2) 	vii    	o   	       	+2     	            	       	         	o         	0                 	0                	5, 2, -1    	0          	5   	5
60	60	1/2     	1/2     	4/4    	5    	1    	I        	         	G        	IV      	     	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
61	61	1/2     	1/2     	4/4    	5    	1    	V        	         	G        	IV      	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
61	61	3/4     	3/4     	4/4    	5    	1    	V(64)    	         	G        	IV      	     	V(64)    	V      	    	       	64     	            	       	         	M         	0                 	0                	1, 0, 4     	           	1   	1
62	62	0       	0       	4/4    	5    	1    	viio(2)  	         	G        	IV      	     	viio(2)  	vii    	o   	       	2      	            	       	         	o         	0                 	0                	0, 2, -1    	           	5   	0
62	62	1/4     	1/4     	4/4    	5    	1    	viio6    	         	G        	IV      	     	viio6    	vii    	o   	6      	       	            	       	         	o         	0                 	0                	2, -1, 5    	           	5   	2
62	62	1/2     	1/2     	4/4    	5    	1    	I6\\     	         	G        	IV      	     	I6       	I      	    	6      	       	            	       	\\       	M         	0                 	0                	4, 1, 0     	           	0   	4
62	62	3/4     	3/4     	4/4    	5    	1    	IV       	         	G        	IV      	     	IV       	IV     	    	       	       	            	       	         	M         	0                 	0                	-1, 3, 0    	           	-1  	-1
63	63	0       	0       	4/4    	5    	1    	I.I      	         	G        	I       	     	I        	I      	    	       	       	            	       	         	M         	0                 	0                	0, 4, 1     	           	0   	0
64	64	0       	0       	4/4    	5    	1    	I6       	         	G        	I       	     	I6       	I      	    	6      	       	            	       	         	M         	0                 	0                	4, 1, 0     	           	0   	4
64	64	1/2     	1/2     	4/4    	5    	1    	V        	         	G        	I       	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
65	65	0       	0       	4/4    	5    	1    	V(4)     	         	G        	I       	     	V(4)     	V      	    	       	4      	            	       	         	M         	0                 	0                	1, 0, 2     	           	1   	1
65	65	1/4     	1/4     	4/4    	5    	1    	V        	         	G        	I       	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
65	65	1/2     	1/2     	4/4    	5    	1    	V(+64)   	         	G        	I       	     	V(+64)   	V      	    	       	+64    	            	       	         	M         	0                 	0                	1, 0, 2     	4          	1   	1
65	65	3/4     	3/4     	4/4    	5    	1    	V7(4)    	         	G        	I       	     	V7(4)    	V      	    	7      	4      	            	       	         	Mm7       	0                 	0                	1, 0, 2, -1 	           	1   	1
66	66	0       	0       	4/4    	5    	1    	V(4)     	         	G        	I       	     	V(4)     	V      	    	       	4      	            	       	         	M         	0                 	0                	1, 0, 2     	           	1   	1
66	66	1/4     	1/4     	4/4    	5    	1    	V        	         	G        	I       	     	V        	V      	    	       	       	            	       	         	M         	0                 	0                	1, 5, 2     	           	1   	1
67	67	0       	0       	4/4    	5    	1    	I\\      	         	G        	I       	     	I        	I      	    	       	       	            	       	\\       	M         	0                 	0                	0, 4, 1     	           	0   	0
